post_id,date,text,sentiment_score,emotion,distress_score,risk_level,clean_text
P07148,2025-03-27,I am feeling so suffering. I just want to suffering.,-0.8813618608081237,Sadness,0.871232505389891,High Risk,i am feeling so suffering i just want to suffering
P01665,2025-03-27,"I can't take this hopeless anymore, it's worthless and I want to pain.",-0.7003207064320986,Fear,0.703984361037574,High Risk,i cant take this hopeless anymore its worthless and i want to pain
P02815,2025-03-27,Very happy and movie.,0.5944280972321638,Surprise,0.0062250185034864,Low Risk,very happy and movie
P09577,2025-03-27,Everything is pointless and I feel worthless.,-0.6601823230295832,Sadness,0.922949101628344,High Risk,everything is pointless and i feel worthless
P03698,2025-03-27,Feeling happy today.,0.4505289142897432,Surprise,0.2067202378762496,Low Risk,feeling happy today
P02632,2025-03-27,Very movie and friends.,0.9406308395956546,Happiness,0.2048679823735548,Low Risk,very movie and friends
P07649,2025-03-27,I am feeling so pointless. I just want to pointless.,-0.7942786166597946,Sadness,0.8917944756635898,High Risk,i am feeling so pointless i just want to pointless
P09715,2025-03-27,Very sunny and movie.,0.7893863566855945,Surprise,0.10009212938113,Low Risk,very sunny and movie
P07828,2025-03-27,Feeling movie today.,0.7419428855146621,Neutral,0.3211061150145216,Low Risk,feeling movie today
P09167,2025-03-27,Feeling working today.,0.642153963062992,Happiness,0.0232285182867442,Low Risk,feeling working today
P05500,2025-03-27,"I can't take this suffering anymore, it's no way out and I want to hurt myself.",-0.7568956557400787,Sadness,0.7714557116798686,High Risk,i cant take this suffering anymore its no way out and i want to hurt myself
P03752,2025-03-27,Very good and fun.,0.7292516545387244,Happiness,0.1781734701144121,Low Risk,very good and fun
P09688,2025-03-27,I am struggling and heavy lately.,-0.2471404871408918,Sadness,0.6920062338378968,Medium Risk,i am struggling and heavy lately
P03461,2025-03-27,I am heavy and anxious lately.,-0.0963286775685592,Fear,0.6994920791145964,Medium Risk,i am heavy and anxious lately
P09205,2025-03-27,Today was really overwhelmed.,-0.4173958734702458,Disgust,0.5041869806257494,Medium Risk,today was really overwhelmed
P08752,2025-03-28,I am sad and overwhelmed lately.,-0.3173102521384258,Sadness,0.4692057530384345,Medium Risk,i am sad and overwhelmed lately
P07378,2025-03-28,Very happy and dinner.,0.5739139689763821,Happiness,0.2166804425994473,Low Risk,very happy and dinner
P08625,2025-03-28,Very sunny and going out.,0.226951869741923,Neutral,0.25363987421032,Low Risk,very sunny and going out
P02384,2025-03-28,I am struggling and lonely lately.,-0.2991931875120442,Anger,0.4842129227393782,Medium Risk,i am struggling and lonely lately
P04425,2025-03-28,I am overwhelmed and sad lately.,-0.2032994740815098,Fear,0.4888190289124585,Medium Risk,i am overwhelmed and sad lately
P00978,2025-03-28,I am stressed and tired lately.,-0.0314839735866845,Anger,0.6813895694301682,Medium Risk,i am stressed and tired lately
P08290,2025-03-28,I am overwhelmed and heavy lately.,-0.3050518825951404,Anger,0.4726362281887112,Medium Risk,i am overwhelmed and heavy lately
P09593,2025-03-28,Very sunny and happy.,0.2430343549821872,Neutral,0.1546271875852663,Low Risk,very sunny and happy
P03947,2025-03-28,Feeling going out today.,0.6930959449076659,Happiness,0.2895981536578952,Low Risk,feeling going out today
P00054,2025-03-28,Feeling good today.,0.9203344457306644,Neutral,0.0754828433365517,Low Risk,feeling good today
P03280,2025-03-28,Feeling sunny today.,0.8072416080536866,Neutral,0.1907180895601533,Low Risk,feeling sunny today
P01614,2025-03-28,Everything is hopeless and I feel no way out.,-0.8288872376105477,Fear,0.8256787671812257,High Risk,everything is hopeless and i feel no way out
P08876,2025-03-29,Very sunny and okay.,0.2511544509625318,Happiness,0.2044629616953113,Low Risk,very sunny and okay
P09826,2025-03-29,Very going out and movie.,0.3070394703994581,Surprise,0.2142566291900916,Low Risk,very going out and movie
P03274,2025-03-29,Today was really struggling.,-0.4872124128732263,Fear,0.491801831562683,Medium Risk,today was really struggling
P00454,2025-03-29,Very fun and okay.,0.4780572193911857,Neutral,0.3708711277917811,Low Risk,very fun and okay
P02503,2025-03-29,Everything is worthless and I feel give up.,-0.97938609300047,Fear,0.9174730815508252,High Risk,everything is worthless and i feel give up
P07349,2025-03-29,Very movie and fun.,0.7606835822473319,Happiness,0.2543317350499388,Low Risk,very movie and fun
P07437,2025-03-29,Very going out and okay.,0.759984096141513,Happiness,0.2271592915800699,Low Risk,very going out and okay
P07903,2025-03-29,"I can't take this give up anymore, it's depressed and I want to worthless.",-0.977144756964026,Fear,0.8168082523842647,High Risk,i cant take this give up anymore its depressed and i want to worthless
P03451,2025-03-29,I am dark and tired lately.,-0.1042881159776847,Disgust,0.4641885192522386,Medium Risk,i am dark and tired lately
P04290,2025-03-29,Very going out and working.,0.983289735795842,Neutral,0.0267895064494296,Low Risk,very going out and working
P07372,2025-03-29,"I can't take this pointless anymore, it's hurt myself and I want to depressed.",-0.9386612353987036,Fear,0.8021641855951263,High Risk,i cant take this pointless anymore its hurt myself and i want to depressed
P03560,2025-03-29,"I can't take this hurt myself anymore, it's suffering and I want to no way out.",-0.5914575265401752,Sadness,0.8778316897982597,High Risk,i cant take this hurt myself anymore its suffering and i want to no way out
P09632,2025-03-30,Very fun and movie.,0.4338355194224024,Neutral,0.1946320896589085,Low Risk,very fun and movie
P01907,2025-03-30,Very okay and friends.,0.7033174671762554,Neutral,0.0287626869265782,Low Risk,very okay and friends
P06300,2025-03-30,Very working and happy.,0.7533627343002769,Happiness,0.0639474620948471,Low Risk,very working and happy
P08196,2025-03-30,Everything is end it all and I feel hopeless.,-0.6079146565916052,Sadness,0.7740497550467571,High Risk,everything is end it all and i feel hopeless
P00781,2025-03-30,Very dinner and happy.,0.5161647410479762,Surprise,0.386821072570414,Low Risk,very dinner and happy
P09364,2025-03-30,Very going out and dinner.,0.8742182075403775,Neutral,0.079257952438727,Low Risk,very going out and dinner
P02025,2025-03-30,"I can't take this end it all anymore, it's pointless and I want to pain.",-0.9477185676228292,Fear,0.8867648188639341,High Risk,i cant take this end it all anymore its pointless and i want to pain
P05296,2025-03-30,Very fun and dinner.,0.7460575362454114,Neutral,0.1870632496752164,Low Risk,very fun and dinner
P00014,2025-03-30,"I can't take this suffering anymore, it's pain and I want to give up.",-0.5788576127025007,Fear,0.9818496824692567,High Risk,i cant take this suffering anymore its pain and i want to give up
P09143,2025-03-30,Very working and dinner.,0.307079031664236,Happiness,0.0020965347237082,Low Risk,very working and dinner
P04406,2025-03-30,Very going out and friends.,0.3263570979374145,Neutral,0.0922538582645653,Low Risk,very going out and friends
P00967,2025-03-30,Very good and movie.,0.7597116556976975,Surprise,0.2742802171734576,Low Risk,very good and movie
P00706,2025-03-31,Everything is depressed and I feel suffering.,-0.631065240719235,Sadness,0.8898718992035303,High Risk,everything is depressed and i feel suffering
P02942,2025-03-31,I am struggling and sad lately.,0.1144825175230855,Anger,0.6330304814050218,Medium Risk,i am struggling and sad lately
P09074,2025-03-31,Very sunny and dinner.,0.3841061958599585,Neutral,0.2658214655825626,Low Risk,very sunny and dinner
P06734,2025-03-31,Very fun and good.,0.2686423697808193,Surprise,0.182179857856056,Low Risk,very fun and good
P02145,2025-03-31,I am feeling so worthless. I just want to worthless.,-0.5229341792144637,Sadness,0.90857752022663,High Risk,i am feeling so worthless i just want to worthless
P09971,2025-03-31,Very happy and friends.,0.8118511347081963,Neutral,0.2507616212810223,Low Risk,very happy and friends
P07965,2025-03-31,I am stressed and lonely lately.,0.0796429089118224,Anger,0.5866595757025208,Medium Risk,i am stressed and lonely lately
P04221,2025-03-31,"I can't take this suffering anymore, it's give up and I want to hopeless.",-0.6632417362639456,Sadness,0.7467178035770037,High Risk,i cant take this suffering anymore its give up and i want to hopeless
P00869,2025-03-31,"I can't take this no way out anymore, it's hurt myself and I want to suffering.",-0.7705297417015898,Sadness,0.7646033144147657,High Risk,i cant take this no way out anymore its hurt myself and i want to suffering
P04352,2025-03-31,I am lonely and sad lately.,-0.4705745184667055,Fear,0.6949486869734225,Medium Risk,i am lonely and sad lately
P00913,2025-04-01,I am struggling and overwhelmed lately.,0.054090741813959,Anger,0.5531685386228014,Medium Risk,i am struggling and overwhelmed lately
P01700,2025-04-01,Everything is hurt myself and I feel end it all.,-0.9363875565314946,Sadness,0.9107196163241796,High Risk,everything is hurt myself and i feel end it all
P04421,2025-04-01,I am anxious and dark lately.,-0.3276139932134499,Disgust,0.5385319912933875,Medium Risk,i am anxious and dark lately
P06510,2025-04-02,I am overwhelmed and struggling lately.,-0.0822051764027436,Disgust,0.4977453637317049,Medium Risk,i am overwhelmed and struggling lately
P00007,2025-04-02,Very happy and okay.,0.3597390257266878,Neutral,0.3932923543227153,Low Risk,very happy and okay
P04606,2025-04-02,Very okay and good.,0.7861375760005349,Happiness,0.3583467756631472,Low Risk,very okay and good
P02512,2025-04-02,I am anxious and overwhelmed lately.,0.0832920135201302,Disgust,0.556171163289752,Medium Risk,i am anxious and overwhelmed lately
P06108,2025-04-02,Very dinner and friends.,0.5511439548663715,Neutral,0.1498928053812485,Low Risk,very dinner and friends
P02545,2025-04-02,Very dinner and okay.,0.3352831203365212,Neutral,0.2624444601912669,Low Risk,very dinner and okay
P06948,2025-04-02,Very movie and working.,0.9240712884158804,Happiness,0.1639718241834429,Low Risk,very movie and working
P09470,2025-04-02,Very movie and good.,0.9574699089099818,Neutral,0.1444810311129984,Low Risk,very movie and good
P06094,2025-04-02,Today was really heavy.,-0.2393345681262225,Disgust,0.5993978240617296,Medium Risk,today was really heavy
P00471,2025-04-03,Very okay and fun.,0.7330455086680319,Surprise,0.0272689237541974,Low Risk,very okay and fun
P05390,2025-04-03,I am sad and anxious lately.,-0.2957437472933923,Anger,0.6600351333815038,Medium Risk,i am sad and anxious lately
P02394,2025-04-03,"I can't take this pain anymore, it's hurt myself and I want to end it all.",-0.755980887859125,Fear,0.9632467725194463,High Risk,i cant take this pain anymore its hurt myself and i want to end it all
P09653,2025-04-03,Very going out and sunny.,0.6356059771216583,Happiness,0.1955033640146274,Low Risk,very going out and sunny
P06295,2025-04-03,I am tired and struggling lately.,-0.2572384461483974,Anger,0.6212120900618758,Medium Risk,i am tired and struggling lately
P04039,2025-04-03,Very dinner and sunny.,0.5522873579409562,Happiness,0.0239917088766065,Low Risk,very dinner and sunny
P03472,2025-04-03,Everything is hopeless and I feel pain.,-0.6305862813244103,Fear,0.8711048284026284,High Risk,everything is hopeless and i feel pain
P01108,2025-04-04,Very okay and working.,0.3555581155453509,Happiness,0.332945415864398,Low Risk,very okay and working
P04833,2025-04-04,Very good and sunny.,0.8269388744156831,Happiness,0.1945280908996106,Low Risk,very good and sunny
P09303,2025-04-04,Everything is give up and I feel pain.,-0.5674147632568347,Fear,0.9537987566724376,High Risk,everything is give up and i feel pain
P06798,2025-04-04,"I can't take this give up anymore, it's hurt myself and I want to depressed.",-0.6784532208905013,Sadness,0.8700227045358021,High Risk,i cant take this give up anymore its hurt myself and i want to depressed
P00502,2025-04-04,Very working and going out.,0.9932707270962192,Neutral,0.3769261558692771,Low Risk,very working and going out
P01979,2025-04-04,I am lonely and dark lately.,0.0513737882350278,Disgust,0.6413123242413101,Medium Risk,i am lonely and dark lately
P05690,2025-04-04,Very okay and happy.,0.2935563771944643,Surprise,0.1272025677577601,Low Risk,very okay and happy
P02130,2025-04-04,"I can't take this no way out anymore, it's pain and I want to pointless.",-0.6892677886716077,Sadness,0.7897038038828038,High Risk,i cant take this no way out anymore its pain and i want to pointless
P09217,2025-04-05,Very okay and dinner.,0.2394544238472941,Happiness,0.1511392170569047,Low Risk,very okay and dinner
P02727,2025-04-05,I am stressed and overwhelmed lately.,-0.320458733754992,Sadness,0.6959146514886676,Medium Risk,i am stressed and overwhelmed lately
P01170,2025-04-05,I am dark and stressed lately.,-0.291347044632624,Sadness,0.5624123262722315,Medium Risk,i am dark and stressed lately
P09445,2025-04-05,I am anxious and lonely lately.,-0.4370959806855627,Disgust,0.6176770149738536,Medium Risk,i am anxious and lonely lately
P08830,2025-04-05,I am tired and anxious lately.,-0.0728109801842528,Fear,0.5844024703838933,Medium Risk,i am tired and anxious lately
P08925,2025-04-05,Very working and sunny.,0.8773028198019661,Happiness,0.2541281562742386,Low Risk,very working and sunny
P01746,2025-04-06,I am tired and dark lately.,0.0788074930213533,Fear,0.5526655765522737,Medium Risk,i am tired and dark lately
P07502,2025-04-06,Very happy and fun.,0.6809133334902758,Neutral,0.1513805249935937,Low Risk,very happy and fun
P04699,2025-04-06,I am feeling so no way out. I just want to no way out.,-0.5485435540166155,Fear,0.7598979059946934,High Risk,i am feeling so no way out i just want to no way out
P00324,2025-04-06,Very going out and happy.,0.2008960891840876,Surprise,0.3328536711830968,Low Risk,very going out and happy
P05494,2025-04-06,"I can't take this suffering anymore, it's hurt myself and I want to end it all.",-0.6894386985440949,Sadness,0.7606247388220612,High Risk,i cant take this suffering anymore its hurt myself and i want to end it all
P00203,2025-04-06,Very good and friends.,0.3613018560381956,Surprise,0.3300530706771189,Low Risk,very good and friends
P05706,2025-04-06,Very sunny and fun.,0.2501377077615727,Surprise,0.1464162827212261,Low Risk,very sunny and fun
P05773,2025-04-06,I am anxious and sad lately.,0.0282180389904546,Sadness,0.6384920905527888,Medium Risk,i am anxious and sad lately
P05777,2025-04-06,I am dark and overwhelmed lately.,0.1387430942074335,Fear,0.5807848830804072,Medium Risk,i am dark and overwhelmed lately
P03521,2025-04-06,Very happy and going out.,0.5566797073589742,Surprise,0.3343696292111254,Low Risk,very happy and going out
P02233,2025-04-06,I am lonely and struggling lately.,-0.0504532540981118,Anger,0.6381686965583551,Medium Risk,i am lonely and struggling lately
P04260,2025-04-07,"I can't take this worthless anymore, it's pain and I want to no way out.",-0.5537442904529242,Fear,0.9943115880043636,High Risk,i cant take this worthless anymore its pain and i want to no way out
P04470,2025-04-07,Very working and okay.,0.80542384558283,Happiness,0.0574410902618845,Low Risk,very working and okay
P05326,2025-04-07,Everything is end it all and I feel give up.,-0.6425647946613073,Fear,0.8399472881010748,High Risk,everything is end it all and i feel give up
P05404,2025-04-07,Everything is suffering and I feel worthless.,-0.9877928425888888,Fear,0.7179215217193783,High Risk,everything is suffering and i feel worthless
P01140,2025-04-07,Very friends and sunny.,0.2109459318085449,Happiness,0.1034366364539136,Low Risk,very friends and sunny
P09969,2025-04-07,Very going out and good.,0.9146140922417724,Happiness,0.3176643903882928,Low Risk,very going out and good
P09152,2025-04-07,Very sunny and good.,0.90819659440845,Surprise,0.102155734803257,Low Risk,very sunny and good
P09281,2025-04-07,I am struggling and tired lately.,-0.0491024383855197,Anger,0.6972538822498038,Medium Risk,i am struggling and tired lately
P08454,2025-04-07,"I can't take this pain anymore, it's hurt myself and I want to no way out.",-0.7815635420098478,Sadness,0.9293596089572428,High Risk,i cant take this pain anymore its hurt myself and i want to no way out
P05408,2025-04-08,"I can't take this suffering anymore, it's end it all and I want to depressed.",-0.5122547508344721,Sadness,0.7096880950202473,High Risk,i cant take this suffering anymore its end it all and i want to depressed
P06481,2025-04-08,"I can't take this pain anymore, it's hopeless and I want to no way out.",-0.5915290006649896,Sadness,0.9867098676756616,High Risk,i cant take this pain anymore its hopeless and i want to no way out
P04416,2025-04-08,Very dinner and good.,0.2298813078526502,Surprise,0.2370655800533979,Low Risk,very dinner and good
P07529,2025-04-08,Very fun and working.,0.816272991562143,Surprise,0.3295423201969832,Low Risk,very fun and working
P02028,2025-04-08,Very fun and going out.,0.2514021783636888,Happiness,0.0642853396763942,Low Risk,very fun and going out
P09411,2025-04-08,"I can't take this worthless anymore, it's pointless and I want to end it all.",-0.6583235147673474,Sadness,0.9107560152737308,High Risk,i cant take this worthless anymore its pointless and i want to end it all
P01586,2025-04-08,I am feeling so give up. I just want to give up.,-0.583482868029465,Sadness,0.9745869821137824,High Risk,i am feeling so give up i just want to give up
P09658,2025-04-08,Very friends and okay.,0.2987274799866283,Neutral,0.3624789937662643,Low Risk,very friends and okay
P00619,2025-04-08,I am feeling so hurt myself. I just want to hurt myself.,-0.8683421081234,Sadness,0.7037212108831944,High Risk,i am feeling so hurt myself i just want to hurt myself
P01653,2025-04-08,I am sad and tired lately.,-0.3118001609670798,Anger,0.6040752064991122,Medium Risk,i am sad and tired lately
P04680,2025-04-09,I am feeling so depressed. I just want to depressed.,-0.5484413585639318,Fear,0.923489559538268,High Risk,i am feeling so depressed i just want to depressed
P01567,2025-04-09,I am feeling so pain. I just want to pain.,-0.7061007753141576,Fear,0.7374610230717767,High Risk,i am feeling so pain i just want to pain
P08501,2025-04-09,I am heavy and overwhelmed lately.,-0.2435720504183733,Disgust,0.6821189297722515,Medium Risk,i am heavy and overwhelmed lately
P02824,2025-04-09,Very friends and happy.,0.6428247082857467,Neutral,0.3312238170931505,Low Risk,very friends and happy
P06802,2025-04-09,I am overwhelmed and tired lately.,-0.3201209455965988,Disgust,0.6836590301829556,Medium Risk,i am overwhelmed and tired lately
P08863,2025-04-09,"I can't take this give up anymore, it's pain and I want to hurt myself.",-0.7717743529013841,Fear,0.7191126912514939,High Risk,i cant take this give up anymore its pain and i want to hurt myself
P03737,2025-04-09,I am dark and anxious lately.,0.0449820749958822,Anger,0.630728101958945,Medium Risk,i am dark and anxious lately
P01989,2025-04-09,I am lonely and heavy lately.,-0.0410594115199778,Disgust,0.6887095949363584,Medium Risk,i am lonely and heavy lately
P06195,2025-04-09,Very friends and going out.,0.2981927571671863,Happiness,0.2489286183866725,Low Risk,very friends and going out
P02203,2025-04-09,I am overwhelmed and lonely lately.,-0.4442882968395703,Fear,0.4942329457268112,Medium Risk,i am overwhelmed and lonely lately
P06235,2025-04-09,I am stressed and struggling lately.,0.0964665126329318,Anger,0.5157460866622078,Medium Risk,i am stressed and struggling lately
P06554,2025-04-09,Everything is end it all and I feel pain.,-0.7472791716410976,Fear,0.8637449264656937,High Risk,everything is end it all and i feel pain
P05468,2025-04-10,Very friends and fun.,0.7026311956682572,Happiness,0.3778059693152837,Low Risk,very friends and fun
P06880,2025-04-10,I am tired and overwhelmed lately.,-0.1192974586716706,Disgust,0.4841513525132472,Medium Risk,i am tired and overwhelmed lately
P03741,2025-04-10,"I can't take this hopeless anymore, it's depressed and I want to no way out.",-0.873152852455744,Sadness,0.7515911205530629,High Risk,i cant take this hopeless anymore its depressed and i want to no way out
P00640,2025-04-10,Everything is hurt myself and I feel hopeless.,-0.8904655954490711,Sadness,0.9531773837835172,High Risk,everything is hurt myself and i feel hopeless
P09863,2025-04-10,I am overwhelmed and anxious lately.,0.1216779154066676,Anger,0.5440739119196394,Medium Risk,i am overwhelmed and anxious lately
P04031,2025-04-11,Everything is end it all and I feel no way out.,-0.9724760185028928,Sadness,0.7098506287251632,High Risk,everything is end it all and i feel no way out
P00405,2025-04-11,Everything is pointless and I feel suffering.,-0.5345256522465112,Fear,0.9756033390980512,High Risk,everything is pointless and i feel suffering
P07126,2025-04-11,Very working and good.,0.6006650130292817,Neutral,0.3759423835575455,Low Risk,very working and good
P04102,2025-04-11,Very okay and going out.,0.7789971083262286,Neutral,0.1099485712368612,Low Risk,very okay and going out
P01072,2025-04-11,"I can't take this worthless anymore, it's no way out and I want to end it all.",-0.7911665020915026,Sadness,0.8536901040661242,High Risk,i cant take this worthless anymore its no way out and i want to end it all
P07063,2025-04-12,Very working and fun.,0.400942569387074,Neutral,0.3776591201697918,Low Risk,very working and fun
P00117,2025-04-12,Very friends and dinner.,0.8316945142356431,Happiness,0.372371642274917,Low Risk,very friends and dinner
P08047,2025-04-12,Very movie and happy.,0.6675978111829337,Happiness,0.148694190055421,Low Risk,very movie and happy
P02710,2025-04-12,Very movie and dinner.,0.727503142881172,Surprise,0.2681278535926171,Low Risk,very movie and dinner
P08852,2025-04-12,I am feeling so hopeless. I just want to hopeless.,-0.5728057208702548,Fear,0.7838365465960393,High Risk,i am feeling so hopeless i just want to hopeless
P02428,2025-04-13,I am tired and heavy lately.,-0.3011270955407969,Sadness,0.4458885611817231,Medium Risk,i am tired and heavy lately
P00578,2025-04-13,I am heavy and struggling lately.,-0.3211546587410767,Sadness,0.5353718032542965,Medium Risk,i am heavy and struggling lately
P09207,2025-04-13,I am overwhelmed and dark lately.,-0.1092161818529218,Anger,0.4274135431021812,Medium Risk,i am overwhelmed and dark lately
P02468,2025-04-13,Very good and happy.,0.6481375164538867,Neutral,0.0379536920590298,Low Risk,very good and happy
P09837,2025-04-13,"I can't take this suffering anymore, it's pointless and I want to give up.",-0.6907561153637145,Fear,0.9400955705797752,High Risk,i cant take this suffering anymore its pointless and i want to give up
P02758,2025-04-13,I am tired and lonely lately.,-0.4793206219719547,Anger,0.491390749688073,Medium Risk,i am tired and lonely lately
P06408,2025-04-13,I am heavy and sad lately.,-0.3898492773218254,Fear,0.5498386402518742,Medium Risk,i am heavy and sad lately
P01376,2025-04-14,I am sad and heavy lately.,0.0557545934162958,Sadness,0.580415221206569,Medium Risk,i am sad and heavy lately
P09415,2025-04-14,Very going out and fun.,0.7833449852003878,Surprise,0.08614935043641,Low Risk,very going out and fun
P03643,2025-04-14,Very movie and going out.,0.8593623292498036,Happiness,0.3097042273729805,Low Risk,very movie and going out
P00135,2025-04-15,Very good and working.,0.507361465103376,Neutral,0.0181785521365831,Low Risk,very good and working
P06120,2025-04-15,"I can't take this suffering anymore, it's end it all and I want to hopeless.",-0.7121094925872998,Sadness,0.9142368405483224,High Risk,i cant take this suffering anymore its end it all and i want to hopeless
P03759,2025-04-15,Very fun and sunny.,0.9730029657920718,Neutral,0.3784790105920127,Low Risk,very fun and sunny
P04995,2025-04-15,"I can't take this pointless anymore, it's hurt myself and I want to hopeless.",-0.6714771213984911,Sadness,0.7560305248810026,High Risk,i cant take this pointless anymore its hurt myself and i want to hopeless
P02392,2025-04-16,"I can't take this hopeless anymore, it's no way out and I want to depressed.",-0.7514553453246015,Fear,0.9583696681781158,High Risk,i cant take this hopeless anymore its no way out and i want to depressed
P09261,2025-04-16,I am tired and stressed lately.,-0.4338549921672532,Sadness,0.6406221330024373,Medium Risk,i am tired and stressed lately
P08415,2025-04-16,I am heavy and tired lately.,-0.2308312980814273,Sadness,0.5387467493952119,Medium Risk,i am heavy and tired lately
P06987,2025-04-16,"I can't take this no way out anymore, it's hurt myself and I want to pain.",-0.8237208722644958,Sadness,0.8603384484225424,High Risk,i cant take this no way out anymore its hurt myself and i want to pain
P00019,2025-04-16,Everything is pain and I feel give up.,-0.5065565316997414,Fear,0.8184644554526709,High Risk,everything is pain and i feel give up
P06531,2025-04-17,Everything is give up and I feel depressed.,-0.8154320460179325,Sadness,0.7968636293965418,High Risk,everything is give up and i feel depressed
P00083,2025-04-17,I am lonely and anxious lately.,0.1756762812735388,Fear,0.4256042394981304,Medium Risk,i am lonely and anxious lately
P04670,2025-04-17,Very happy and working.,0.2533324410206586,Surprise,0.3530422494915366,Low Risk,very happy and working
P09021,2025-04-17,Everything is no way out and I feel suffering.,-0.8417987087060415,Fear,0.7223206173185471,High Risk,everything is no way out and i feel suffering
P03914,2025-04-17,I am struggling and dark lately.,-0.2718146693618315,Disgust,0.5326182131182668,Medium Risk,i am struggling and dark lately
P06282,2025-04-17,"I can't take this depressed anymore, it's pointless and I want to suffering.",-0.5772005540531691,Sadness,0.8513845330298386,High Risk,i cant take this depressed anymore its pointless and i want to suffering
P02848,2025-04-17,Everything is hopeless and I feel suffering.,-0.5804754159603214,Fear,0.9097082242126284,High Risk,everything is hopeless and i feel suffering
P00092,2025-04-18,"I can't take this worthless anymore, it's no way out and I want to depressed.",-0.7169813947529619,Sadness,0.9273538331393107,High Risk,i cant take this worthless anymore its no way out and i want to depressed
P04600,2025-04-18,I am struggling and stressed lately.,-0.1333743161570289,Fear,0.5149115051254786,Medium Risk,i am struggling and stressed lately
P07975,2025-04-18,I am struggling and anxious lately.,-0.2356932107952524,Anger,0.5664703281359781,Medium Risk,i am struggling and anxious lately
P00289,2025-04-18,I am dark and lonely lately.,0.0073367400701329,Disgust,0.5717283278300397,Medium Risk,i am dark and lonely lately
P00505,2025-04-18,"I can't take this pointless anymore, it's hopeless and I want to pain.",-0.5160699825774848,Sadness,0.9347454773691812,High Risk,i cant take this pointless anymore its hopeless and i want to pain
P07528,2025-04-19,Everything is give up and I feel pointless.,-0.8796227925910964,Sadness,0.7418700451924964,High Risk,everything is give up and i feel pointless
P08973,2025-04-19,"I can't take this depressed anymore, it's no way out and I want to suffering.",-0.7441365262400059,Sadness,0.7031084641233337,High Risk,i cant take this depressed anymore its no way out and i want to suffering
